AAA	Ansett Australia - Australia	ANSETT
AVU	Avia Sud Aï¿½rotaxi - France	AVIASUD
AVV	Airvantage Incorporated - United States	AIRVANTAGE
AVW	Aviator Airways - Greece	AVIATOR
AVX	Aviapaslauga - Lithuania	PASLAUGA
AVY	Aerovaradero, S.A. - Cuba	AEROVARADERO
AVZ	Air Valencia - Spain	AIR VALENCIA
AWA	The Atlantic Airline (Gambia) Ltd. - The Gambia	GAMBIA ATLANTIC
AWB	Airways International, Inc. - United States	AIRNAT
AWC	Titan Airways - United Kingdom	ZAP
AWD	Providence Aviation Services - Pakistan	UNKNOWN
AWE	America West Airlines - United States	CACTUS
AWF	Arab Air Cargo - Jordan	SINBAD
AWG	Aerowings, Inc. - Antigua and Barbuda	SKYRIBBEAN
AWH	Air Inter Niger - Niger	INTER NIGER
AWI	Air Wisconsin - United States	AIR WISCONSIN
AWJ	Sahel Airlines - Niger	SAHEL AIRLINES
AWK	Airwork - New Zealand	AIRWORK
AWL	Australian Wetleasing - Australia	AUSSIEWORLD
AWM	Contact, Compagnie Nigerienne Des Transports Aerien - Niger	AIR CONTACT
AWN	Air Niamey - Niger	AIR NIAMEY
AWO	Awood Air Ltd. - Canada	AWOOD AIR
AWP	Air Niger International - Niger	NIGER INTERNATIONAL
AWQ	Indonesia AirAsia - Indonesia	WAGON AIR
AWR	Arctic Wings And Rotors Ltd. - Canada	ARCTIC WINGS
AWS	Arab Wings - Jordan	ARAB WINGS
AWT	Air West - Canada	AIR WEST
AWU	Aeroline GmbH - Germany	SYLT-AIR
AWV	Airwave Transport, Inc. - Canada	AIRWAVE
AWW	Air Wales - United Kingdom	RED DRAGON
AWX	CAA Directorate of Airspace Policy (IFP) - United Kingdom	ALLWEATHER
AWY	Aeroway, S.L. - Spain	AEROWEE
AWZ	AirWest - Sudan	UNKNOWN
AXA	Kiev Aar Airlines - Ukraine	AAR AIRLINES
AXB	American Blue VA - USA	AMERICAN BLUE
AXC	Air Exclusive - Croatia	AIR EXCLUSIVE
AXD	Air Express - Sudan	AIR SUDEX
AXE	Executive Air - Zimbabwe	AXAIR
AXF	Asian Express Airlines - Australia	FREIGHTEXPRESS
AXG	Avirex Guinee Equatoriale - Equatorial Guinea	AVIREX
AXH	Aeromexhaga - Mexico	AEROMEXHAGA
AXI	Aeron International Airlines, Inc. - United States	AIR FREIGHTER
AXJ	Aspen Executive Air - US	AJAX
AXK	African Express Airways - Kenya	EXPRESS JET
AXL	Air Exel - Netherlands	EXEL COMMUTER
AXM	AirAsia - Malaysia	ASIAN EXPRESS
AXN	Alexandair - Greece	ALEXANDROS
AXP	Aeromax - Spain	AEROMAX SPAIN
AXQ	Action Airlines (Action Air Charter) - United States	ACTION AIR
AXR	Axel Rent, S.A. - Mexico	RENTAXEL
AXS	Altus Airlines - United States	ALTUS
AXT	Aerotaxis Axa, S.L. - Spain	AEROAXA
AXV	Aviaxess - France	AXAVIA
AXX	Avioimpex A.D.p.o. - Macedonia	IMPEX
AXY	Axis Airways - France	AXIS
AYA	Federal Aviation Administration (FAA) Academy - United State	ACADEMY AIR
AYB	Belgian Army - Belgium	BELGIAN ARMY
AYD	Aladia Airlines - Mexico	AIRLINES ALADIA
AYK	Aykavia Aircompany - Armenia	UNKNOWN
AYM	Airman, S.L. - Spain	AIRMAN
AYN	Atlantic Airlines, S.A. - Nicaragua	ATLANTIC NICARAGUA
AYP	Aero Lloyd Austria Luftfahrt GmbH - Austria	AUSTRIA LLOYD
AYR	Flight Training Europe - Spain	CYGNET
AYS	Awsaj Aviation Services - Libya	UNKNOWN
AYT	Ayeet Aviation & Tourism - Israel	AYEET
AYU	Yuhi Air Lines - Japan	UNKNOWN
AYY	Air Alliance Express - DE	UNKNOWN
AYZ	Atlant-Soyuz Airlines - Russia	ATLANT-SOYUZ
AZA	Alitalia - Italy	ALITALIA
AZB	Azamat - Kazakhstan	TUMARA
AZD	Aral - Kazakhstan	ARAL AIR
AZE	Arcus-Air Logistic - Germany	ARCUS AIR
AZF	Air Zermatt AG - Switzerland	AIR ZERMATT
AZG	Sakaviaservice - Georgia	SAKSERVICE
AZH	Sky Wind - Azerbaijan	SKY WIND
AZI	Azzurra Air - Italy	AZZURRA
AZK	Azalhelikopter - Azerbaijan	AZALHELICOPTER
AZL	Africa One - Zambia	SKY AFRICA
AZM	Aerocozumel - Mexico	AEROCOZUMEL
AZN	Amaszonas - Bolivia	UNKNOWN
AZO	Abruzzair - Italy	ABRUZZAIR
AZP	Arizona Pacific Airways - United States	ARIZONA PACIFIC
AZQ	Silk Way Airlines - Azerbaijan	SILK LINE
AZR	Zenith Air - South Africa	ZENAIR
AZS	Aviacon Zitotrans Air Company - Russia	ZITOTRANS
AZT	Aztec Airways - Poland	AZTEC
AZV	Azov Avia Airlines - Ukraine	AZOV AVIA
AZW	Air Zimbabwe - Zimbabwe	AIR ZIMBABWE
AZX	Air Max Africa - Gabon	AZIMA
AZY	Arizona Airways, Inc. - United States	ARIZAIR
AZZ	Azza Transport - Sudan	AZZA TRANSPORT
BAA	Balkan Agro Aviation - Bulgaria	BALKAN AGRO
BAB	Bahrain Air BSC (Closed) - Bahrain	AWAL
BAC	Baccara Express - France	BACCARA
BAE	BAE Systems - United Kingdom	FELIX
BAF	Belgian Air Force - Belgium	BELGIAN AIRFORCE
BAG	dba - Germany	SPEEDWAY
BAH	The Amiri Flight - Bahrain	BAHRAIN
BAI	Barair, S.A. - Spain	BARAI
BAJ	Baker Aviation - United States	BAKER AVIATION
BAK	Air Bakov	Air Bakov
BAL	Berlin Airlines VA (closed) - Germany	BERLIN AIRLINES
BAM	Business Air Services - Canada	BUSINESS AIR
BAN	British Antarctic Survey - United Kingdom	PENGUIN
BAO	Bay Air Cargo S/A - Brazil	BAY CARGO
BAP	Trans International Express Aviation - United States	BIG APPLE
BAR	Bradly Air (Charter) Services - Canada	BRADLEY
BAS	Aero Services - Barbados	AEROSERV
BAT	Beach-Airlines VA - Germany	BEACHAIR
BAU	Bissau Airlines - Guinea-Bissau	AIR BISSAU
BAV	Bay Aviation Ltd - Bangladesh	BAY AIR
BAW	British Airways - United Kingdom	SPEEDBIRD
BAX	Best Aero Handling Ltd - Russia	UNKNOWN
BAY	Bayon Airlines - Cambodia	BAYON
BBA	Bannert Air - Austria	BANAIR
BBB	SwedJet Airways - Sweden	BLACKBIRD
BBC	Biman Bangladesh Airlines - Bangladesh	BANGLADESH
BBD	Bluebird Cargo - Iceland	BLUE CARGO
BBE	Ababeel Aviation - Sudan	BABEL AIR
BBG	Alisea Airlines S.p.A. - Italy	ALISEA
BBL	IBM Euroflight Operations - Switzerland	BLUE
BBO	Flybaboo - Switzerland	BABOO
BBR	Santa Barbara Airlines - Venezuela	SANTA BARBARA
BBS	Beibars CJSC - Kazakhstan	BEIBARS
BBT	Air Bashkortostan - Russia	AGYDAL
BBV	Bravo Airlines - Spain	BRAVO EUROPE
BBX	Bel Air Helicopters - DK	BLUEBEL
BBZ	Blue Bird Aviation - Kenya	COBRA
BCA	Britannic VA - United Kingdom	BRITANNIC
BCB	Carib Express - Barbados	WAVEBIRD
BCF	BACH Flugbetriebsges - Austria	BACH
BCH	Phillips Air - United States	BEACHBALL
BCI	Blue Islands - United Kingdom	BLUE ISLAND
BCK	Priority Aviation Company - United States	BANKCHECK
BCL	British Caribbean Airways - United Kingdom	UNKNOWN
BCN	Ocean Air - Mauritania	BLUE OCEAN
BCR	British Charter - United Kingdom	BACKER
BCS	European Air Transport - Belgium	EUROTRANS
BCT	BCT Aviation - United Kingdom	BOBCAT
BCV	Business Aviation Center - Ukraine	BUSINESS AVIATION
BCY	CityJet - Ireland	CITY-IRELAND
BDA	Blue Dart Aviation - India	BLUE DART
BDF	Bissau Discovery Flying Club - Guinea-Bissau	BISSAU DISCOVERY
BDG	Mississippi State University - United States	BULLDOG
BDI	Ben Air - DK	BIRDIE
BDM	Air Bandama - Ivory Coast	BANDAMA
BDN	DERA Boscombe Down - United Kingdom	GAUNTLET
BDR	Badr Airlines - Sudan	BADR AIR
BDS	South Asian Airlines - Bangladesh	SOUTH ASIAN
BDY	Birdy Airlines S.A. - Belgium	BEL-BIRD
BEA	Best Aviation Ltd - Bangladesh	BEST AIR
BEC	State Air Company Berkut - Kazakhstan	UNKNOWN
BED	Belgorod Aviation Enterprise - Russia	BELOGORYE
BEE	Flybe - United Kingdom	JERSEY
BEF	Balear Express - Spain	BALEAR EXPRESS
BEH	Bel Air Helicopters - Denmark	BLUECOPTER
BEI	Benair - IT	BENAIR
BEK	Berkut Air - Kazakhstan	BERKUT
BEL	Brussels Airlines - Belgium	BEELINE
BEN	Benin Air Cargo - Benin	BENIN CARGO
BER	Air Berlin - Germany	AIR BERLIN
BES	Aero Services Executive - France	BIRD EXPRESS
BET	BETA - Brazilian Express Transportes Aereos - Brazil	BETA CARGO
BEX	Benin Air Express - Benin	BENIN EXPRESS
BEZ	Kingfisher Air Services - United States	SEA BREEZE
BFA	Presidence Du Faso - Burkina Faso	UNKNOWN
BFC	Basler Flight Service - United States	BASLER
BFF	Air Baffin - Canada	AIR BAFFIN
BFG	Bear Flight - Sweden	BEARFLIGHT
BFL	Buffalo Airways - Canada	BUFFALO
BFM	Beijing Pan Am International Aviation Academy - CN	UNKNOWN
BFN	Compangnie Nationale Naganagani - Burkina Faso	UNKNOWN
BFO	Bombardier - Canada	BOMBARDIER
BFR	Burkina Airlines - Burkina Faso	BURKLINES
BFS	Business Flight Sweden - Sweden	BUSINESS FLIGHT
BFW	Bahrain Defence Force - Bahrain	SUMMAN
BGA	Airbus Transport International - France	BELOUGA
BGB	Bulgaria - Bulgaria	AIR BULGARIA
BGD	Air Bangladesh - Bangladesh	AIR BANGLA
BGE	Bridge Airlines - Liberia	BRIDGE AIR
BGF	Aviodetachment-28 - Bulgaria	BULGARIAN
BGG	Aero BG - Mexico	AERO BG
BGH	BH Air - Bulgaria	BALKAN HOLIDAYS
BGI	British Gulf International - Sï¿½o Tomï¿½ and Prï¿½ncipe	BRITISH GULF
BGK	British Gulf International-Fez - Kyrgyzstan	GULF INTER
BGL	Benin Golf Air - Benin	BENIN GOLF
BGM	Bugulma Air Enterprise - Russia	BUGAVIA
BGR	Budget Air Bangladesh - Bangladesh	BUDGET AIR
BGS	Grenzschutz-Fliegertruppe - Germany	PIROL
BGT	Budget Airlines VA - Netherlands	BUDGER
BHA	Buddha Air - Nepal	BUDDHA AIR
BHC	Aerotaxis De La Bahia - Mexico	BAHIA
BHI	Balkh Airlines - Afghanistan	SHARIF
BHL	Bristow Helicopters - United Kingdom	BRISTOW
BHN	Bristow Helicopters Nigeria - Nigeria	BRISTOW HELICOPTERS
BHO	Bhoja Airlines - Pakistan	BHOJA
BHP	Belair Airlines - Switzerland	BELAIR
BHR	Bighorn Airways - United States	BIGHORN AIR
BHS	Bahamasair - Bahamas	BAHAMAS
BHT	Bright Air - Netherlands	BRIGHTAIR
BHU	Business Air Ltd. - Hungary	BUSINESS HUNGARY
BHV	Specavia Air Company - Russia	AVIASPEC
BHY	Bosphorus European Airways - Turkey	BOSPHORUS
BIA	Baltic International Airlines - Latvia	BALTIC INTERNATIONAL
BIB	Michelin Air Services - France	UNKNOWN
BID	Binair - Germany	BINAIR
BIE	Air Mediterranee - France	MEDITERRANEE
BIG	Big Island Air - United States	BIG ISLE
BIH	British International Helicopters - United Kingdom	BRINTEL
BIL	Billund Air Center - Denmark	BILAIR
BIM	Binter Mediterraneo, S.A. - Spain	BINTER
BIN	Boise Interagency Fire Center - United States	BISON-AIR
BIO	Bio - Bosnia and Herzegovina	BIO-AIR
BIR	Bird Leasing - United States	BIRD AIR
BIS	Irbis Air - Kazakhstan	IRBIS
BIT	Northeast Aviation - US	RUN BITTY
BIV	Aviaservice - Georgia	AVIASERVICE
BIZ	Bizjet Ltd - United Kingdom	BIZZ
BJA	Baja Air - Mexico	BAJA AIR
BJC	Baltic Jet Aircompany - Latvia	BALTIC JET
BJK	Atlantic Airlines - United States	BLACKJACK
BJS	Business Jet Solutions - United States	SOLUTION
BJT	ACM Aviation - United States	BAY JET
BKA	Bankair - United States	BANKAIR
BKB	State of West Virginia, Aviation Division - US	BLACK BEAR
BKF	BF-Lento OY - Finland	BAKERFLIGHT
BKH	RAF Barkston Heath - United Kingdom	UNKNOWN
BKJ	Barken International - United States	BARKEN JET
BKL	Aircompany Barcol - Russia	BARCOL
BKN	Parks College of Engineering Aviation and Technology - US	BILLIKEN
BKP	Bangkok Airways - Thailand	BANGKOK AIR
BKR	Civil Air Patrol South Carolina Wing - United States	BOX KAR
BKS	Aviaexpress Cruise, Joint-Stock Company - Russian Federation	AVIACRUISE
BKV	Bukovyna - Ukraine	BUKOVYNA
BLA	All Charter Limited - United Kingdom	ALL CHARTER
BLB	Blue Bird Aviation - Sudan	BLUEBIRD SUDAN
BLC	Bellesavia - Belarus	BELLESAVIA
BLD	Bournemouth Commercial Flight Training Centre - GB	BLACKADDER
BLE	Blue Line - France	BLUE BERRY
BLF	Blue1 - Finland	BLUEFIN
BLG	Belgavia - Belgium	BELGAVIA
BLH	Blue Horizon Travel Club - United States	BLUE HORIZON
BLI	Thyssen Krupp AG - Germany	BLUELINE
BLJ	Blue Jet - Spain	BLUEWAY
BLK	Westcoast Energy - Canada	BLUE FLAME
BLL	Baltic Airlines - Russia	BALTIC AIRLINES
BLM	Blue Airways - Armenia	BLUE ARMENIA
BLN	Bali International Air Service - Indonesia	BIAR
BLR	Atlantic Coast Airlines - United States	BLUE RIDGE
BLS	Bearskin Lake Air Service - Canada	BEARSKIN
BLT	Baltic Aviation - United States	BALTAIR
BLU	IMP Aviation Services - Canada	BLUENOSE
BLV	Bellview Airlines - Nigeria	BELLVIEW AIRLINES
BLW	Wermlandsflyg AB - Sweden	BLUESTAR
BLX	TUIfly Nordic - Sweden	BLUESCAN
BLY	Starair - Ireland	BLARNEY
BLZ	Aero Barloz - Mexico	AEROLOZ
BMA	bmi - United Kingdom	MIDLAND
BMD	British Medical Charter - United Kingdom	BRITISH MEDICAL
BME	Briggs Marine Environmental Services - United Kingdom	BRIGGS
BMF	Baltijas Meridians - Latvia	BALTIC MERIDIANS
BMH	Bristow Masayu Helicopters - Indonesia	MASAYU
BMI	bmibaby - United Kingdom	BABY
BMJ	Bemidji Airlines - United States	BEMIDJI
BMK	GST Aero Aircompany - Kazakhstan	MURAT
BML	Bismillah Airlines - Bangladesh	BISMILLAH
BMM	Atlas Blue - Morocco	ATLAS BLUE
BMN	Bowman Aviation - United States	BOWMAN
BMR	British Midland Regional - United Kingdom	UNKNOWN
BMS	Akmola Bim - Kazakhstan	ISHIM
BMV	Alatau Airlines - Kazakhstan	OLIGA
BMW	BMW - Germany	BMW-FLIGHT
BMX	Banco de Mexico - Mexico	BANXICO
BNA	Baronair, M/S Limited - India	BARONAIR
BNB	Aero Banobras - Mexico	AEROBANOBRAS
BNC	Sundance Air - United States	BARNACLE AIR
BND	Bond Offshore Helicopters - United Kingdom	BOND
BNE	Benina Air - Libya	BENINA AIR
BNF	Braniff International Airways - United States	Braniff
BNG	BN Group Limited - United Kingdom	VECTIS
BNI	Alberni Airways - Canada	ALBERNI
BNL	Blue Nile Ethiopia Trading - Ethiopia	NILE TRADING
BNR	Bonair Aviation - Canada	BONAIR
BNS	Bancstar - Valley National Corporation - United States	BANCSTAR
BNT	Bentiu Air Transport - Sudan	BENTIU AIR
BNV	Benane Aviation Corporation - Mauritania	BENANE
BNW	British North West Airlines - United Kingdom	BRITISH NORTH
BNX	LAI - Linea Aerea IAACA - Venezuela	AIR BARINAS
BNZ	Aerolineas Bonanza - Mexico	AERO BONANZA
BOA	Boniair - Macedonia	KUMANOVO
BOB	Bonair Business Charter GmbH - Germany	TWISTER
BOC	Aerobona - Mexico	AEROBONA
BOD	Bond Air Services - Uganda	UGABOND
BOE	Boeing - United States	BOEING
BOF	Bordaire - Canada	BORDAIR
BOI	Aboitiz Air - Philippines	ABAIR
BOL	Transportes Aereos Bolivianos - Bolivia	BOL
BON	Air Bosna - Bosnia and Herzegovina	AIR BOSNA
BOO	Bookajet Limited - United Kingdom	BOOKAJET
BOR	Merpati Intan - Malaysia	BORNEO
BOS	Bosal International Management N.V. - Belgium	BOSAL
BOT	Air Botswana - Botswana	BOTSWANA
BOU	Bouraq Indonesia Airlines - Indonesia	BOURAQ
BOX	Aerologic - Germany	GERMAN CARGO
BPA	BudapestAir	BudapestAir
BPK	Berkhut ZK - Kazakhstan	VENERA
BPO	Bundepolizei-Fliegertruppe - Germany	PIROL
BPS	Budapest Aircraft Services/Manx2 - Hungary	BASE
BPT	Bonus Aviation - United Kingdom	BONUS
BPX	British Petroleum Exploration - Colombia	UNKNOWN
BRA	Braathens ASA - Norway	BRAATHENS
BRB	BRA-Transportes Aereos - Brazil	BRA-TRANSPAEREOS
BRD	Brock Air Services - Canada	BROCK AIR
BRE	Breeze Ltd - Ukraine	AVIABREEZE
BRF	Air Bravo - Uganda	AIR BRAVO
BRG	Bering Air - United States	BERING AIR
BRI	Air Bor - France	AIR BOR
BRK	Briansk State Air Enterprise - Russia	BRIANSK-AVIA
BRL	Air Brasd'or - Canada	BRASD'OR
BRM	Air 500 - Canada	BOOMERANG
BRN	Branson Airlines - United States	BRANSON
BRO	BASE Regional Airlines - Netherlands	COASTRIDER
BRP	Airport Bratsk - Russia	AEROBRA
BRQ	El-Buraq Air Transport - Libya	BURAQAIR
BRR	Mountain Air Service - United States	MOUNTAIN AIR
BRS	Brazilian Air Force - Brazil	BRAZILIAN AIR FORCE
BRT	British Regional Airlines - United Kingdom	BRITISH
BRU	Belavia Belarusian Airlines - Belarus	BELARUS AVIA
BRV	Bravo Air Congo - Democratic Republic of the Congo	BRAVO
BRW	BAHINES STREAM AIRWAYS - France	BAHINES
BRX	Buffalo Express Airlines - United States	BUFF EXPRESS
BRY	Burundayavia - Kazakhstan	BURAIR
BRZ	Samara Airlines - Russia	BERYOZA
BSA	Air Bissau International - GW	BISSAU INTERNATIONAL
BSB	Air Wings - Moldova	ARBAS
BSC	Bistair - Fez - Kyrgyzstan	BIG SHOT
BSD	Blue Star Airlines - Mexico	AIRLINES STAR
BSI	Brasair Transportes Aereos - Brazil	BRASAIR
BSJ	Blue Swann Aviation - United Kingdom	BLUE SWANN
BSK	Miami Air International - United States	BISCAYNE
BSL	Air Brasil - BR	AIRBRASIL
BSM	Blue Sky Aviation - Lebanon	UNKNOWN
BSN	Connectair Charters - Canada	BASTION
BSP	Global Airways - Democratic Republic of Congo	UNKNOWN
BSR	Guine Bissaur Airlines - Guinea-Bissau	BISSAU AIRLINES
BSS	Bissau Aero Transporte - Guinea-Bissau	BISSAU AIRSYSTEM
BST	Best Air - Turkey	TUNCA
BSW	Blue Sky Airways - Czech Republic	SKY BLUE
BSY	Big Sky Airlines - United States	BIG SKY
BTA	ExpressJet - United States	JET LINK
BTB	Air National Guards 158 Fighter Wing - US	158 FIGHTER WING
BTC	BAL Bashkirian Airlines - Russia	BASHKIRIAN
BTH	Baltijas Helicopters - Latvia	BALTIJAS HELICOPTERS
BTI	Air Baltic - Latvia	AIRBALTIC
BTK	Baltyka - Ukraine	BALTYKA
BTL	Baltia Air Lines - United States	BALTIA FLIGHT
BTO	AeroBoteco Airlines - Brazil	AEROBOTECO
BTP	Veritair Ltd - United Kingdom	NET RAIL
BTR	Botir-Avia - Kyrgyzstan	BOTIR-AVIA
BTS	Aerotaxis Albatros - Mexico	AEROLINEAS ALBATROS
BTT	BT-Slavuta - Ukraine	BEETEE-SLAVUTA
BTU	Rolls-Royce plc - United Kingdom	ROLLS
BTV	Metro Batavia - Indonesia	BATAVIA
BUB	Air Bourbon - Reunion	BOURBON
BUC	Bulgarian Air Charter - Bulgaria	BULGARIAN CHARTER
BUD	Air Budapest Club Ltd. - Hungary	BUDDY
BUE	Orebro Aviation - Sweden	BLUELIGHT
BUG	Mokulele Airlines - US	SPEEDBUGGY
BUK	Buckley Air Ltd. - New Zealand	BUCKLEY
BUL	Blue Airlines - Democratic Republic of the Congo	BLUE AIRLINES
BUN	Buryat Airlines Aircompany - Russia	BURAL
BUR	Business Air AG - Switzerland	AIR-BUSINESS
BUZ	Buzz Stansted - United Kingdom	BUZZ
BVA	British Virtual Airways - United Kingdom	SPEEDBIRD
BVC	Bulgarian Aeronautical Centre - Bulgaria	BULGARIAN WINGS
BVG	BVG Viajes - MX	BEEVEEGEE VIAJES
BVN	Baron Aviation Services - United States	SHOW-ME
BVR	ACM Air Charter - Germany	BAVARIAN
BVT	Berjaya Air - Malaysia	BERJAYA
BVU	Bellview Airlines, Sierra Leone - Sierra Leone	UNKNOWN
BVV	Spark+ Joint-Stock Company - Russia	SPARK
BVZ	Abavia - Georgia	ABAZIA
BWA	Caribbean Airlines - Trinidad and Tobago	CARIBBEAN AIRLINES
BWE	Baltimore Air Transport, Inc. - United States of America	BEEWEE
BWG	Blue Wings - Germany	BLUE WINGS
BWI	Blue Wing Airlines - Suriname	BLUE TAIL
BWL	BWA (2002) Ltd - United Kingdom	BRITWORLD
BWY	Fleet Requirements Air Direction Unit - United Kingdom	BROADWAY
BXA	Bahrain Executive Air Services - Bahrain	BEXAIR
BXH	Bar XH Air - Canada	PALLISER
BXI	Brussels International Airlines - Belgium	XENIA
BXR	Redding Aero Enterprises - United States	BOXER
BYA	Berry Aviation - United States	BERRY
BYC	Northern Airlines Sanya - China	BEIYA
BYE	Bayu Indonesia Air - Indonesia	BAYU
BYL	Bylina Joint-Stock Company - Russia	BYLINA
BYR	Berytos Airlines - Lebanon	UNKNOWN
BYT	Patriot Aviation Limited - United Kingdom	BYTE
BYU	Bayu Indonesia Air P.T. - Indonesia	BAYU
BZ	Brit Air - France	BRITAIR
BZA	Bizair Fluggesellschaft - Germany	BERLIN BEAR
BZD	Canadian Global Air Ambulance - Canada	BLIZZARD
BZF	Jet Aviation Business Jets - United States	BIZFLEET
BZH	Brit Air - France	BRITAIR
BZS	Aero Biniza - Mexico	BINIZA
BZW	Zircon Airways Benin, S.A. - Benin	ZIRCON
BZZ	Butane Buzzard Aviation Corporation - United Kingdom	BUZZARD
CAA	Atlantic Southeast Airlines - United States	Chandler
CAB	Chesapeake Air Service - United States	CHESAPEAKE AIR
CAC	Conquest Airlines - United States	CONQUEST AIR
CAD	Chilliwack Aviation - Canada	CHILLIWACKAIR
CAE	Colibri Aviation - Canada	HUMMINGBIRD
CAG	China National Aviation Corporation - China	CHINA NATIONAL
CAH	Charlan Air Charter - South Africa	CHARLAN
CAI	Corendon Airlines - Turkey	CORENDON
CAJ	Air Caraibes Atlantique - France	CAR LINE
CAK	Congo Air - Bahamas	UNKNOWN
CAL	China Airlines - Taiwan	DYNASTY
CAM	Camai Air - United States	AIR CAMAI
CAN	Crest Aviation - United Kingdom	CREST
CAO	Air China Cargo - China	AIRCHINA FREIGHT
CAP	CA Deutsche Piloten - Germany	CADP
CAQ	Cityair (Chester) Limited - United Kingdom	AIR CHESTER
CAR	Inter RCA - Central African Republic	QUEBEC ROMEO
CAS	Christman Air System - United States	CHRISTMAN
CAT	Catalonian Airlines	CATALONIAN
CAU	Cancun Avioturismo, S.A. - Mexico	AVIOTURISMO
CAV	Calm Air - Canada	CALM AIR
CAW	Comair - South Africa	COMMERCIAL
CAX	Central Air Express - Democratic Republic of Congo	CENTRAL EXPRESS
CAY	Cayman Airways - Cayman Islands	CAYMAN
CAZ	Cat Aviation - Switzerland	EUROCAT
CBA	Civil Aviation Inspectorate of the Czech Republic - Czech Republic	CALIBRA
CBB	Cheboksary Airenterprise JSC - Russia	CHEBAIR
CBC	Caribair - Dominican Republic	CARIBAIR
CBD	Lockheed Martin Aeronautics - United States	CATBIRD
CBE	Aerovias Caribe - Mexico	AEROCARIBE
CBF	China Northern Airlines - China	CHINA NORTHERN
CBI	CABI - Ukraine	CABI
CBJ	Caribjet, Inc. - Antigua and Barbuda	RIGEL
CBK	Cheboksary Air Enterprise - Russian Federation	AIR CHEBOKSARY
CBL	Cumberland Airways (Nicholson Air Service) - United States	CUMBERLAND
CBM	Cherokee Express - United States	BLUE MAX
CBN	Swedish Civil Aviation Administration - Sweden	CALIBRATION
CBO	Aerotaxi del Cabo - Mexico	TAXI CABO
CBR	Cabair College of Air Training - United Kingdom	CABAIR
CBS	Air Columbus - Ukraine	AIR COLUMBUS
CBT	Catalina Flying Boats - United States	CATALINA AIR
CBV	Aero Cabo - Mexico	CABOAEREO
CBY	Coningsby Flying Training Unit - United Kingdom	TYPHOON
CC	Corse-Mediterranee - France	CORSICA
CCA	Air China - China	AIR CHINA
CCC	European Aviation Services Ltd. - United Kingdom	ALDERNEY
CCE	Cairo Air Transport Company - Egypt	UNKNOWN
CCF	CCF Manager Airline - Germany	TOMCAT
CCG	Central Connect Airlines - Czech Republic	UNKNOWN
CCH	Chilchota Taxi Aereo - Mexico	CHILCHOTA
CCI	Capital Cargo International Airlines - United States	CAPPY
CCK	Flight Trac - United States	CABLE CHECK
CCL	Continental Aviation Limited (Contical) - Ghana	CONTICAL
CCM	Corse-Mediterranee - France	CORSICA
CCP	Champion Air - United States	CHAMPION AIR
CCQ	Capital City Air Carriers - United States	CAP CITY
CCR	Carga Aerea Venezolana Caraven, S.A. - Venezuela	CARGA CARAVEN
CCS	Euro Air Cargo - Spain	CANARIAS CARGO
CCT	Catran AG - Switzerland	CATRAN
CCU	Compania Aerea Canaria de Transporte Aereo, S.A. - Spain	TRANSCANARIAS
CCV	Centro De Helicopteros Corporativos - Mexico	HELICORPORATIVO
CCW	Coptrade Air Transport - Sudan	COPTRADE AIR
CCX	Colt International - United States	UNKNOWN
CCY	Cherry Air - United States	CHERRY
CDA	Aerocardal - Chile	CARDAL
CDB	Air Cordoba - Spain	AIR CORDOBA
CDC	Carga Del Caribe, S.A. de C.V. - Mexico	CARGA DELCARIBE
CDE	Comed Group - United Kingdom	COMEX
CDG	Shandong Airlines - China	SHANDONG
CDI	Cards Air Services - Philippines	CARDS
CDL	Sunbird Airlines - United States	CAROLINA
CDM	Carga Aerea Dominicana - Dominican Republic	CARGA AEREA
CDN	Canadian Airlines - Canada	CANADIAN
CDO	Cargo Dor Limited - Ghana	CARGODOR
CDP	aerocondor - Peru	CDP
CDR	Canadian Regional Airlines - Canada	CANADIAN REGIONAL
CDS	Spectrem Air - South Africa	SPECDAS
CDT	Real Aero Club de Reus-Costa Dorado - Spain	AEROREUS
CDU	Aerotrans - Russia	UNKNOWN
CDV	Airline Skol - Russia	SKOL
CDX	Cloudex Oy - Finland	CLOUDEX
CDY	Heliaviation Limited - United Kingdom	CADDY
CEA	Central European International Virtual Airways - Germany	CENTRAL EUROPEAN
CEB	Cebu Pacific - Philippines	CEBU AIR
CEC	Celtic Airways - United Kingdom	CELTAIR
CED	CEDTA (Compania Ecuatoriana De Transportes Aereos) - Ecuador	CEDTA
CEE	Servicios Aereos Centrales - Mexico	CENTRA AEREOS
CEF	Czech Air Force - Czech Republic	CZECH AIR FORCE
CEG	Cega Aviation - United Kingdom	CEGA
CEM	Central Mongolia Airways - Mongolia	CENTRAL MONGOLIA
CEN	Central Airways Corp. - Canada	CENTRAL AIRWAYS
CEP	Chipola Aviation - United States	CHIPOLA
CER	Cetraca Aviation Service - Democratic Republic of the Congo	CETRACA
CES	China Eastern Airlines - China	CHINA EASTERN
